day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
69,128,22,1.1514828282673084,7.528255041267303,3963,0
70,162,24,1.301080591389496,8.119016112247511,3963,0
71,56,25,2.764412694402909,7.946930403169879,225,0
72,22,5,2.189408754251732,6.549609150989927,183,0
73,190,29,1.3419820516862973,7.627205479345455,3962,0
74,101,17,1.1336358705053677,7.307967869996493,3961,0
75,84,15,1.006510106286246,7.799119273464526,3960,0
76,105,18,1.1204806918001178,8.194426601280846,3959,0
77,142,32,1.1359877110224887,7.153422878310798,3960,0
78,48,26,2.521077731812346,7.530697821445376,232,0
79,15,4,1.944145767655417,7.206242646619901,182,0
80,109,16,1.0856264031478655,8.003857060028473,3957,0
81,136,21,1.1425932083192354,8.088466002913012,3955,0
82,182,44,1.293033890590623,7.917889360918738,3957,0
83,120,15,1.1380126504587633,7.509305623152151,3957,0
84,106,15,1.1128204878854402,7.0640910123581255,3956,0
85,22,4,2.0274690941615408,7.3203923125345,191,0
86,21,4,2.0152344666914694,7.849880662578221,182,0
87,136,28,1.2106072966113026,7.421588103100561,3954,0
88,207,56,1.3651298470005742,7.62321404481824,3952,0
89,148,14,1.2099399849775259,7.693195020024374,3952,0
90,152,18,1.2668017999661578,7.539892511531735,3952,0
91,12,4,1.7179423792445854,6.8284267400169805,186,0
92,11,2,1.660842509719602,7.642435797572449,182,0
93,16,5,1.8983979101885997,7.520914107697254,181,0
94,194,44,1.3558816674288927,7.986159115611462,3952,0
95,154,23,1.2903036282344866,7.714754791607511,3949,0
96,77,15,1.0906711871336012,7.888136037837572,3948,0
97,80,13,1.0023207375768948,7.146787388013871,3948,0
98,73,11,0.9331344107604301,7.6915303901869505,3948,0
99,18,4,1.9769029576993151,8.039105372000908,197,0
100,16,1,1.9413427662687408,6.269293328038248,183,0
101,134,22,1.1006443576560532,7.763014909260646,3941,0
102,86,6,1.0370871268367965,7.710911998078632,3945,0
103,100,11,1.0785832798761559,7.917913448622612,3945,0
104,65,15,0.9624585583748024,7.632510216875535,3944,0
105,88,14,1.080964637348789,8.115739528637587,3942,0
106,64,29,2.702119205141995,7.742164687927617,261,0
107,20,3,2.099991558558018,7.099905879699279,181,0
108,123,21,1.114501288651091,7.891388381863664,3936,0
109,99,16,1.0430904949114221,7.92209989358918,3935,0
110,90,14,1.0617051257315533,7.452980531776256,3934,0
111,102,19,1.0830169408487897,7.644604744842991,3934,0
112,121,18,1.1358989559022992,7.61664511863786,3932,0
113,21,9,2.060949011415583,7.459890918407765,213,0
114,20,4,2.064717653539183,7.17025221548416,184,0
115,140,25,1.2113765123936506,7.753530168755833,3926,0
116,167,36,1.2749902835228135,7.761756547572438,3927,0
117,87,17,1.0770750935546782,7.47382479772456,3928,0
118,94,24,0.987437470253231,7.587916745213675,3928,0
